PDB	Family	Protein Type	Subtype	CrossDocking_Family	RMSD mmaker	Atoms Between	Rotatable	MW	Charge	2010/2012	Checked By
3HMM	Misc	TGF-beta_receptor_type_I	--	--	--	--	--	--	--	2021	CC
1FPU	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0	275	5	382.425	0	2012	sm/tb
2E2B	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.384	259	9	576.624	0	2012	sm/tb
3CS9	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.415	257	9	444.655	0	2012	sm/tb
1IEP	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.417	269	7	493.611	0	2012	sm/tb
2HYY	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.464	258	7	493.611	0	2012	sm/tb
2HZN	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.478	259	7	373.334	0	2012	sm/tb
1M52	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.524	233	4	443.356	0	2012	sm/tb
3IK3	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.535	250	1	138.123	0	2012	sm/tb
3OY3	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.541	255	11	568.599	0	2012	sm/tb
3K5V	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.548	257	4	133.171	1	2012	sm/tb
3OXZ	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.559	241	6	532.568	0	2012	sm/tb
3KFA	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.562	253	6	443.448	0	2012	sm/tb
2F4J	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.576	234	8	464.594	0	2012	sm/tb
3KF4	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.642	230	7	493.611	0	2012	sm/tb
3QRI	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.65	246	10	553.596	0	2012	sm/tb
2HZI	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.673	231	3	429.28	0	2012	sm/tb
2GQG	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.69	233	9	488.013	0	2012	sm/tb
2QOH	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.695	234	4	372.426	0	2012	sm/tb
1OPK	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.707	232	5	427.289	0	2012	sm/tb
3QRJ	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.707	242	10	553.596	0	2012	sm/tb
2Z60	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.713	234	3	153.008	-3	2012	sm/tb
3QRK	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.731	246	7	502.399	0	2012	sm/tb
2HZ4	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.809	226	2	470.571	0	2012	sm/tb
2HZ0	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.863	221	9	429.442	0	2012	sm/tb
1ACJ	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase 	0	528	1	198.268	0	2010	sm/tb
1.00E+66	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.32	528	2	298.815	0	2010	sm/tb
2CKM	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.338	528	10	492.707	0	2010	sm/tb
1H23	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.339	528	15	496.737	2	2010	sm/tb
1Q84	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.344	527	13	661.873	1	2010	sm/tb
1GPK	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.355	528	1	243.329	1	2012	sm/tb
1GPN	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.358	527	0	257.356	1	2010	sm/tb
1H22	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.358	528	13	468.683	2	2010	sm/tb
1VOT	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.363	528	1	243.329	1	2010	sm/tb
1W76	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.366	527	2	286.351	1	2010	sm/tb
2ACK	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.367	528	2	166.243	1	2010	sm/tb
1EVE	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.369	528	6	380.507	1	2010	sm/tb
1ZGC	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.375	528	13	501.735	1	2010	sm/tb
1UT6	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.386	528	9	326.505	1	2010	sm/tb
1W6R	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.415	528	2	287.359	0	2010	sm/tb
1W4L	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.42	522	11	529.656	1	2010	sm/tb
2CMF	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.526	518	8	464.654	0	2010	sm/tb
1ODC	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.704	505	11	452.643	0	2010	sm/tb
2HA2	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.704	508	11	290.403	2	2010	sm/tb
1J07	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.707	506	13	482.712	2	2010	sm/tb
2OI0	ADAM	ADAM	17	--	--	--	--	--	--	2021	CC
1R55	ADAM	ADAM	--	--	--	--	13	331.412	0	2012	sm/tb
1ADD	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0	349	6	266.257	0	2010	sm/tb
2ADA	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.159	349	6	270.245	0	2010	sm/tb
1NDY	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.581	342	8	309.368	0	2012	sm/tb
1NDZ	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.622	341	13	499.572	0	2012	sm/tb
1NDW	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.628	343	8	259.308	0	2012	sm/tb
1NDV	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.63	338	6	370.482	1	2012	sm/tb
1UML	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.631	342	13	445.521	0	2012	sm/tb
2E1W	Adenosine_Deaminase	Adenosine_Deaminase	--	--	--	--	--	--	--	2021	CC
1WC0	Adenylate_Cyclase	Adenylate_Cyclase	--	--	0	396	11	501.18	-4	2010	sm/tb
2BW7	Adenylate_Cyclase	Adenylate_Cyclase	--	--	0.946	311	11	501.18	-4	2010	sm/tb
1WC5	Adenylate_Cyclase	Adenylate_Cyclase	--	--	0.971	312	11	501.18	-4	2010	sm/tb
2VT4	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0	274	8	461.99	0	2012	sm/tb
2Y00	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0.543	257	7	287.362	0	2012	sm/tb
2Y03	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0.543	258	9	368.432	0	2012	sm/tb
2Y02	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0.572	257	10	301.385	0	2012	sm/tb
2Y04	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0.579	257	7	211.261	0	2012	sm/tb
2Y01	Adrenergic_Receptor	Adrenergic_Receptor	--	--	0.606	257	10	301.385	0	2012	sm/tb
3NY8	Adrenergic_Receptor	Adrenergic_Receptor	B2	--	--	--	--	--	--	2021	CC
1OZ0	AICAR_Transformylase	AICAR_Transformylase	--	--	0	1180	23	811.615	-4	2010	sm/tb
1THZ	AICAR_Transformylase	AICAR_Transformylase	--	--	0.695	1159	8	493.455	-3	2010	sm/tb
2HV5	Aldose_Reductase	Aldose_Reductase	--	--	--	--	--	--	--	2021	CC
1T40	Aldose_Reductase	Aldose_Reductase	--	--	--	--	7	413.329	-1	2012	sm/tb
1U2Y	Alpha_Amylase	Alpha_Amylase	--	--	0	496	6	190.156	0	2010	sm/tb
1XD0	Alpha_Amylase	Alpha_Amylase	--	--	0.175	496	28	808.762	1	2010	sm/tb
1XD1	Alpha_Amylase	Alpha_Amylase	--	--	0.19	496	34	970.904	1	2010	sm/tb
1U33	Alpha_Amylase	Alpha_Amylase	--	--	0.313	495	19	530.483	0	2010	sm/tb
1HWW	Alpha_Mannosidase_II	Alpha_Mannosidase_II	--	--	0	1014	3	174.22	1	2010	sm/tb
1TQT	Alpha_Mannosidase_II	Alpha_Mannosidase_II	--	--	0.126	1013	12	334.368	0	2010	sm/tb
1R33	Alpha_Mannosidase_II	Alpha_Mannosidase_II	--	--	0.13	1014	5	196.247	1	2010	sm/tb
1PS3	Alpha_Mannosidase_II	Alpha_Mannosidase_II	--	--	0.14	1014	5	232.193	0	2010	sm/tb
1XOW	Androgen_Receptor	Androgen_Receptor	--	--	0	253	1	284.398	0	2012	sm/tb
1XQ3	Androgen_Receptor	Androgen_Receptor	--	--	0.207	243	1	284.398	0	2012	sm/tb
2AO6	Androgen_Receptor	Androgen_Receptor	--	--	0.259	242	1	284.398	0	2012	sm/tb
1Z95	Androgen_Receptor	Androgen_Receptor	--	--	0.358	238	8	430.38	0	2012	sm/tb
2AM9	Androgen_Receptor	Androgen_Receptor	--	--	--	--	--	--	--	2021	CC
1O86	Angiotensin_Converting_Enzyme	Angiotensin_Converting_Enzyme	--	--	--	--	13	404.486	-1	2012	sm/tb
3BKL	Angiotensin_Converting_Enzyme	Angiotensin_Converting_Enzyme	--	--	--	--	--	--	--	2021	CC
1ACM	Aspartate_Transcarbamoylase	Aspartate_Transcarbamoylase	--	--	0	310	7	251.089	-4	2010	sm/tb
1D09	Aspartate_Transcarbamoylase	Aspartate_Transcarbamoylase	--	--	0.263	309	7	251.089	-4	2010	sm/tb
8ATC	Aspartate_Transcarbamoylase	Aspartate_Transcarbamoylase	--	--	0.289	308	7	251.089	-4	2010	sm/tb
1Q95	Aspartate_Transcarbamoylase	Aspartate_Transcarbamoylase	--	--	0.38	310	7	251.089	-4	2010	sm/tb
1UZ1	Beta_Glucosidase	Beta_Glucosidase	--	--	438	0.207	4	161.158	0	2010	sm/tb
1OIM	Beta_Glucosidase	Beta_Glucosidase	--	--	443	0.156	5	164.181	1	2010	sm/tb
1W3J	Beta_Glucosidase	Beta_Glucosidase	--	--	443	0.154	4	149.147	0	2010	sm/tb
1OIF	Beta_Glucosidase	Beta_Glucosidase	--	--	444	0	4	148.182	1	2010	sm/tb
1BJU	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0	223	7	289.744	1	2010	sm/tb
1BJV	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.158	223	9	347.397	1	2010	sm/tb
1GHZ	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.232	223	4	254.271	1	2010	sm/tb
1O3E	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.261	223	5	328.393	1	2010	sm/tb
1GI6	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.263	223	5	252.296	1	2010	sm/tb
1O2I	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.263	223	7	337.401	1	2010	sm/tb
1O3F	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.263	223	5	328.393	1	2010	sm/tb
1O3G	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.263	223	5	328.393	1	2010	sm/tb
1O3B	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.264	223	5	329.381	1	2010	sm/tb
1O2S	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.269	223	5	253.284	1	2010	sm/tb
1O3D	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.271	223	5	329.381	1	2010	sm/tb
1O2J	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.272	223	8	325.39	1	2010	sm/tb
1O31	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.274	223	5	254.271	1	2010	sm/tb
1O2N	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.277	223	5	363.826	1	2010	sm/tb
1O2K	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.281	223	8	325.39	1	2010	sm/tb
1O2V	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.281	223	9	446.237	-1	2010	sm/tb
1O30	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.281	223	9	461.429	-1	2010	sm/tb
1O2U	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.283	223	9	446.237	-1	2010	sm/tb
1GJ6	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.285	223	5	362.838	1	2010	sm/tb
1O2Q	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.286	223	7	370.858	1	2010	sm/tb
1O39	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.287	223	5	329.381	1	2010	sm/tb
1O37	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.29	223	7	373.458	2	2010	sm/tb
1O36	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.291	223	10	458.453	-1	2010	sm/tb
1O3H	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.293	223	5	345.219	1	2010	sm/tb
1O3I	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.298	223	5	345.219	1	2010	sm/tb
1O2H	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.299	223	7	336.414	1	2010	sm/tb
1O2O	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.305	223	8	343.381	1	2010	sm/tb
1O2Z	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.329	223	10	473.465	-1	2010	sm/tb
1GI4	Beta_Trypsin	Beta_Trypsin	--	Beta_Trypsin	0.344	223	5	253.284	1	2010	sm/tb
1FH7	Beta_Xylanase	Beta_Xylanase	--	--	0	312	7	266.271	1	2010	sm/tb
1FH9	Beta_Xylanase	Beta_Xylanase	--	--	0.086	312	9	295.27	1	2010	sm/tb
1J01	Beta_Xylanase	Beta_Xylanase	--	--	0.152	312	6	263.247	0	2010	sm/tb
1FH8	Beta_Xylanase	Beta_Xylanase	--	--	0.235	312	6	250.272	1	2010	sm/tb
1FHD	Beta_Xylanase	Beta_Xylanase	--	--	0.279	312	7	303.292	1	2010	sm/tb
1BN1	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase (Ref)	0	257	6	345.444	-1	2010	sm/tb
1BN4	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.067	257	7	361.444	-1	2010	sm/tb
1BN3	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.115	257	4	371.439	-1	2010	sm/tb
1BNN	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.125	257	4	373.455	-1	2010	sm/tb
1BNV	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.149	257	5	403.504	0	2010	sm/tb
1BNT	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.171	256	5	389.454	-1	2010	sm/tb
1G53	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.174	257	6	325.316	-1	2010	sm/tb
1G48	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.183	257	6	325.316	-1	2010	sm/tb
1BNU	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.189	255	5	379.483	-1	2010	sm/tb
1BNW	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.2	256	6	337.446	-1	2010	sm/tb
1CNW	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.2	256	15	388.445	0	2010	sm/tb
1IF7	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.201	257	8	370.452	-1	2010	sm/tb
1G52	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.202	257	6	325.316	-1	2010	sm/tb
1YDB	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.208	255	4	221.241	-1	2010	sm/tb
1CIL	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.21	256	4	324.446	0	2010	sm/tb
1OKL	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.222	255	2	250.321	0	2010	sm/tb
1CNY	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.226	256	17	478.569	0	2010	sm/tb
1CNX	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.228	256	12	331.393	0	2010	sm/tb
1CIN	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.232	256	3	310.419	0	2010	sm/tb
1CIM	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.236	256	2	296.392	0	2010	sm/tb
1I90	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.236	257	6	355.46	0	2010	sm/tb
2H4N	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.241	257	4	221.241	-1	2010	sm/tb
1BCD	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.242	257	2	148.086	-1	2010	sm/tb
1OKN	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.248	256	11	317.433	0	2010	sm/tb
1I91	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.25	257	6	457.552	0	2010	sm/tb
1IF8	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.263	257	8	370.452	-1	2010	sm/tb
1OQ5	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.285	256	5	380.37	-1	2010	sm/tb
1I8Z	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.292	257	6	471.579	0	2010	sm/tb
1JD0	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.847	207	4	221.241	-1	2012	sm/tb
1AZM	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.864	243	4	221.241	-1	2010	sm/tb
1JCZ	Carbonic_Anhydrase	Carbonic_Anhydrase	--	Carbonic_Anhydrase	0.879	210	0	59.0446	-1	2012	sm/tb
1CBX	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A 	0	307	5	206.198	-2	2010	sm/tb
3CPA	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.17	307	8	323.132	0	2010	sm/tb
1CPS	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.203	307	7	239.318	-1	2010	sm/tb
1HDQ	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.272	306	7	223.208	-1	2010	sm/tb
1F57	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.292	305	2	120.152	-1	2010	sm/tb
6CPA	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.297	307	14	476.423	-2	2010	sm/tb
7CPA	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.321	305	17	580.574	-2	2010	sm/tb
8CPA	Carboxypeptidase_A	Carboxypeptidase_A	--	Carboxypeptidase_A	0.322	303	14	460.38	-2	2010	sm/tb
1QCA	CAT_Type_III	CAT_Type_III	--	--	0	211	8	516.322	-1	2010	sm/tb
3CLA	CAT_Type_III	CAT_Type_III	--	--	0.109	210	7	284.356	0	2010	sm/tb
1CKP	CDK	CDK	2	--	0	279	9	431.902	-1	2012	sm/tb
1KE7	CDK	CDK	2	--	0.521	276	4	393.423	0	2012	sm/tb
1KE6	CDK	CDK	2	--	0.549	276	6	400.462	-1	2012	sm/tb
1KE8	CDK	CDK	2	--	0.55	276	6	398.466	0	2012	sm/tb
1KE5	CDK	CDK	2	--	0.587	277	5	329.379	0	2012	sm/tb
1KE9	CDK	CDK	2	--	0.6	276	6	358.401	1	2012	sm/tb
1V0P	CDK	CDK	2	--	0.715	255	9	431.902	-1	2012	sm/tb
1UNG	CDK	CDK	5	--	0.844	169	5	267.331	0	2012	sm/tb
1UNL	CDK	CDK	5	--	0.874	175	9	354.455	0	2012	sm/tb
1UNH	CDK	CDK	5	--	0.963	195	3	277.282	0	2012	sm/tb
1DY4	CEL7	CEL7	--	--	0	434	7	260.356	1	2010	sm/tb
1Z3T	CEL7	CEL7	--	--	0.633	387	12	342.3	0	2010	sm/tb
1Z3V	CEL7	CEL7	--	--	0.644	388	12	342.3	0	2010	sm/tb
1H46	CEL7	CEL7	--	--	0.659	389	7	260.356	1	2010	sm/tb
4V2Z	Cereblon	Cereblon	--	--	--	--	--	--	--	2021	CC
5AMH	Cereblon	Cereblon	4	--	--	--	--	--	--	2021	CC
1W1P	Chitinase	Chitinase	--	--	--	--	0	154.169	0	2012	sm/tb
1W9U	Chitinase	Chitinase	--	--	--	--	14	674.714	0	2010	sm/tb
1W9V	Chitinase	Chitinase	--	--	--	--	12	674.691	-1	2010	sm/tb
1WB0	Chitinase	Chitinase	--	--	--	--	13	673.683	-2	2010	sm/tb
3G0E	C-KIT_Kinase	C-KIT_Kinase		--	--	--	--	--	--	2021	CC
1T46	C-KIT_Kinase	C-KIT_Kinase	--	--	--	--	7	493.611	0	2012	sm/tb
1Z6E	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0	286	9	529.477	1	2010	sm/tb
2P3U	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.215	233	9	550.852	0	2010	sm/tb
1V3X	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.233	285	6	535.067	1	2010	sm/tb
1LPZ	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.235	232	9	466.389	1	2010	sm/tb
2UWL	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.252	283	10	414.509	0	2010	sm/tb
1LPG	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.262	232	12	547.7	2	2010	sm/tb
1F0R	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.264	232	6	453.546	0	2010	sm/tb
1MQ5	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.271	284	8	537.896	0	2010	sm/tb
1NFY	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.272	286	7	463.988	1	2010	sm/tb
2BQ7	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.272	232	7	405.54	0	2010	sm/tb
1LPK	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.276	232	12	427.506	2	2010	sm/tb
2J94	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.279	283	7	488.976	0	2010	sm/tb
1NFX	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.283	286	7	505.018	0	2010	sm/tb
1F0S	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.287	234	5	427.508	0	2010	sm/tb
1NFW	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.288	285	6	436.943	0	2010	sm/tb
2P3T	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.29	231	10	565.866	0	2010	sm/tb
2FZZ	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.301	285	7	589.597	1	2010	sm/tb
2CJI	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.305	285	6	465.957	0	2010	sm/tb
1MQ6	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.307	283	10	568.867	0	2010	sm/tb
1NFU	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.307	285	7	463.988	1	2010	sm/tb
1EZQ	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.313	284	12	460.576	2	2010	sm/tb
1KSN	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.324	286	12	447.514	1	2010	sm/tb
2P93	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.33	282	8	401.873	0	2010	sm/tb
2J95	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.337	285	7	504.051	0	2010	sm/tb
2J38	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.345	284	6	471.985	0	2010	sm/tb
2UWO	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.351	280	8	447.963	0	2010	sm/tb
2J2U	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.369	278	6	454.934	0	2010	sm/tb
2PR3	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.373	284	8	546.019	0	2010	sm/tb
