PDB	Family	Protein Type	Subtype	CrossDocking_Family	RMSD mmaker	Atoms Between	Rotatable	MW	Charge	2010/2012	Checked By
2Q1J	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.375	284	11	558.073	0	2010	sm/tb
2G00	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.382	285	7	534.561	1	2010	sm/tb
2P16	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.382	284	6	459.505	0	2010	sm/tb
1FJS	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.393	285	12	527.507	1	2010	sm/tb
2J34	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.405	286	6	471.985	0	2010	sm/tb
2P95	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.425	284	7	441.938	0	2010	sm/tb
2P94	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.431	284	7	488.973	0	2010	sm/tb
1XKA	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.433	232	10	388.469	0	2010	sm/tb
1G2L	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.459	283	15	526.618	1	2010	sm/tb
2RA0	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.459	282	7	529.529	1	2010	sm/tb
1KYE	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.467	285	14	488.653	1	2010	sm/tb
1XKB	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.505	232	10	388.469	0	2010	sm/tb
2BOK	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	0.553	269	8	399.536	2	2010	sm/tb
3KL6	Coagulation_Factor_Xa	Coagulation_Factor_Xa	--	Coagulation_Factor_Xa	--	--	--	--	--	2021	CC
2W26	Coagulation_Factor_Xa	Coagulation_Factor_Xa		Coagulation_Factor_Xa	--	--	--	--	--	2021	CC
3BWM	COMT	COMT	--	--	--	--	--	--	--	2021	CC
1EQG	COX	COX	--	COX	0	551	4	205.277	-1	2010	sm/tb
1EQH	COX	COX	--	COX	0.132	551	2	243.257	-1	2010	sm/tb
1Q4G	COX	COX	--	COX	0.202	551	2	225.267	-1	2010	sm/tb
1HT8	COX	COX	--	COX	0.213	551	5	225.651	-1	2010	sm/tb
1HT5	COX	COX	--	COX	0.233	551	3	258.292	0	2010	sm/tb
4COX	COX	COX	--	COX	0.794	532	5	356.785	-1	2010	sm/tb
1CX2	COX	COX	--	COX	0.849	533	5	446.248	0	2012	sm/tb
2OYU	COX	COX	1	--	--	--	--	--	--	2021	CC
3LN1	COX	COX	2	--	--	--	--	--	--	2021	CC
2IXU	CPL1_Lysin	CPL1_Lysin	--	--	0	338	26	694.67	-1	2010	sm/tb
2IXV	CPL1_Lysin	CPL1_Lysin	--	--	0.214	338	26	694.67	-1	2010	sm/tb
1R9O	CYP450	CYP450	2C9	--	--	--	--	--	--	2021	CC
1P2Y	CYP450	CYP450	--	--	--	--	1	162.235	0	2012	sm/tb
4XIA	D_Xylose_Isomerase	D_Xylose_Isomerase	--	--	0	393	11	182.174	0	2010	sm/tb
5XIA	D_Xylose_Isomerase	D_Xylose_Isomerase	--	--	0.118	393	9	152.147	0	2010	sm/tb
1J3I	DHFR_TS	DHFR_TS	--	--	0	223	8	394.687	0	2012	sm/tb
1J3K	DHFR_TS	DHFR_TS	--	--	0.395	218	8	394.687	0	2012	sm/tb
1J3J	DHFR_TS	DHFR_TS	--	--	0.413	214	3	248.715	0	2012	sm/tb
1IA1	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	0	192	4	268.342	0	2012	sm/tb
1IA2	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	0.143	192	4	282.369	0	2012	sm/tb
1IA3	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	0.2	192	5	324.45	0	2012	sm/tb
1IA4	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	0.228	192	5	353.448	0	2012	sm/tb
3NXO	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	--	--	--	--	--	2021	CC
1S3V	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	--	--	8	373.455	0	2012	sm/tb
3DFR	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	--	--	4	489.623	0	2012	sm/tb
4DFR	Dihydrofolate_Reductase	Dihydrofolate_Reductase	--	--	--	--	12	452.43	-2	2010	sm/tb
1N1M	Dipeptidyl_peptidase_4	Dipeptidyl_peptidase_4	--	--	--	--	3	171.263	1	2012	sm/tb
1X70	Dipeptidyl_peptidase_4	Dipeptidyl_peptidase_4	--	--	--	--	--	--	--	2021	CC
2RGU	Dipeptidyl_peptidase_4	Dipeptidyl_peptidase_4	--	--	--	--	--	--	--	2021	CC
2I78	Dipeptidyl_peptidase_4	Dipeptidyl_peptidase_4	--	--	--	--	--	--	--	2021	CC
1M17	EGFR	EGFR	--	EGFR	0	293	10	393.442	0	2010	sm/tb
2ITO	EGFR	EGFR	mutant	EGFR	0.423	281	8	446.909	0	2012	sm/tb
2ITQ	EGFR	EGFR	mutant	EGFR	0.434	272	2	470.571	0	2012	sm/tb
2ITP	EGFR	EGFR	mutant	EGFR	0.441	278	7	440.591	0	2012	sm/tb
2ITY	EGFR	EGFR	--	EGFR	0.48	283	8	446.909	0	2012	sm/tb
2ITX	EGFR	EGFR	--	EGFR	0.49	271	11	502.168	-4	2012	sm/tb
2ITU	EGFR	EGFR	mutant	EGFR	0.508	271	2	470.571	0	2012	sm/tb
2ITW	EGFR	EGFR	--	EGFR	0.517	281	2	470.571	0	2012	sm/tb
2EB3	EGFR	EGFR	--	EGFR	0.527	270	11	502.168	-4	2012	sm/tb
3BEL	EGFR	EGFR	--	EGFR	0.541	269	11	308.265	-1	2012	sm/tb
2ITV	EGFR	EGFR	mutant	EGFR	0.558	284	11	502.168	-4	2012	sm/tb
2ITT	EGFR	EGFR	mutant	EGFR	0.59	271	7	440.591	0	2012	sm/tb
1VR2	EGFR	EGFR	--	--	--	--	5	294.31	-2	2012	sm/tb
1XKK	EGFR	EGFR	--	--	--	--	11	581.067	0	2012	sm/tb
2J6M	EGFR	EGFR	--	--	--	--	7	440.591	0	2012	sm/tb
2RGP	EGFR	EGFR	--	--	--	--	--	--	--	2012	sm/tb
1ELB	Elastase	Elastase	--	--	0	240	16	473.559	1	2010	sm/tb
1ELC	Elastase	Elastase	--	--	0.173	240	16	507.576	1	2010	sm/tb
7EST	Elastase	Elastase	--	--	0.314	240	12	441.373	0	2010	sm/tb
1P44	Enoyl_Reductase	Enoyl_Reductase	--	--	--	--	3	393.488	0	2012	sm/tb
3LSY	Enoyl_Reductase	Enoyl_Reductase	--	--	--	--	4	214.221	0	2012	sm/tb
1FO2	ER_Alpha_Mannosidase	ER_Alpha_Mannosidase	--	--	0	456	5	164.181	1	2010	sm/tb
1FO3	ER_Alpha_Mannosidase	ER_Alpha_Mannosidase	--	--	0.192	455	5	232.193	0	2010	sm/tb
1A52	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor 	0	240	2	272.387	0	2010	sm/tb
2I0J	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.384	201	3	282.339	0	2010	sm/tb
1UOM	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.398	203	7	429.582	1	2010	sm/tb
3ERD	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.41	217	5	258.275	-1	2010	sm/tb
1X7E	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.42	212	5	265.268	0	2010	sm/tb
2QE4	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.424	206	5	326.392	0	2010	sm/tb
1SJ0	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.425	208	8	463.597	0	2012	sm/tb
2R6W	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.427	201	9	488.627	1	2010	sm/tb
1ERE	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.429	215	2	272.387	0	2010	sm/tb
1GWQ	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.442	220	3	242.298	0	2010	sm/tb
1X7R	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.443	217	4	270.241	0	2010	sm/tb
3DT3	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.443	208	13	482.506	0	2010	sm/tb
2QGW	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.452	220	3	260.679	0	2010	sm/tb
2R6Y	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.453	202	9	460.574	1	2010	sm/tb
2QA6	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.456	220	4	242.234	0	2010	sm/tb
1YIN	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.459	206	8	478.583	1	2010	sm/tb
2QXM	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.47	219	1	224.265	0	2010	sm/tb
1QKT	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.472	213	2	272.387	0	2010	sm/tb
1R5K	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.474	209	8	353.44	-1	2010	sm/tb
2QGT	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.476	219	4	316.44	0	2010	sm/tb
1GWR	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.477	218	2	272.387	0	2010	sm/tb
3ERT	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.518	205	4	339.396	1	2012	sm/tb
1QKU	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.545	222	2	272.387	0	2010	sm/tb
2QH6	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.552	211	10	424.45	0	2010	sm/tb
1XQC	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	0.561	191	4	440.608	1	2010	sm/tb
1U3Q	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.698	198	4	243.219	0	2010	sm/tb
2I0G	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.82	191	3	282.339	0	2010	sm/tb
1U3S	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.822	185	3	277.279	0	2010	sm/tb
2Z4B	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.828	191	8	239.315	0	2010	sm/tb
2JJ3	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.831	191	5	326.392	0	2010	sm/tb
2GIU	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.852	183	4	335.241	0	2010	sm/tb
1U9E	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.861	191	3	226.232	0	2010	sm/tb
1X7J	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.866	187	4	270.241	0	2010	sm/tb
1ZAF	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.881	192	3	317.139	0	2010	sm/tb
1YY4	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.882	194	2	270.715	0	2010	sm/tb
1X78	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.888	192	5	265.268	0	2010	sm/tb
1X76	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.889	195	3	251.241	0	2010	sm/tb
2NV7	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.897	188	4	263.296	0	2010	sm/tb
1YYE	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.913	189	2	279.27	0	2010	sm/tb
1X7B	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.919	195	4	271.248	0	2010	sm/tb
1L2J	Estrogen_Receptor	Estrogen_Receptor	b	Estrogen_Receptor	0.985	184	4	320.431	0	2010	sm/tb
2PJL	Estrogen_Receptor	Estrogen_Receptor	a	Estrogen_Receptor	1.09	138	5	333.497	1	2010	sm/tb
2FSZ	Estrogen_Receptor	Estrogen_Receptor	b	--	--	--	--	--	--	2021	CC
2EWP	Estrogen_Related_Receptor	Estrogen_Receptor	gamma	--	0	224	13	418.556	1	2010	sm/tb
2P7Z	Estrogen_Related_Receptor	Estrogen_Receptor	gamma	--	0.484	207	10	390.545	1	2010	sm/tb
2P7G	Estrogen_Related_Receptor	Estrogen_Receptor	gamma	--	0.534	205	4	228.291	0	2010	sm/tb
2ZAS	Estrogen_Related_Receptor	Estrogen_Receptor	gamma	--	0.573	206	4	372.426	0	2010	sm/tb
2P7A	Estrogen_Related_Receptor	Estrogen_Receptor	gamma	--	0.604	206	1	142.585	0	2010	sm/tb
1AGW	FGFR	FGFR	--	--	0	278	4	333.39	0	2012	sm/tb
1FGI	FGFR	FGFR	--	--	0.24	277	5	295.318	-1	2010	sm/tb
1C2T	GAR_Transformylase	GAR_Transformylase	--	--	0	209	12	479.426	-3	2012	sm/tb
1JKX	GAR_Transformylase	GAR_Transformylase	--	--	0.422	204	23	749.605	-3	2010	sm/tb
1RBM	GAR_Transformylase	GAR_Transformylase	--	--	0.815	181	19	543.48	-1	2010	sm/tb
1NJS	GAR_Transformylase	GAR_Transformylase	--	--	0.816	181	18	543.456	-2	2010	sm/tb
1EC9	GlucD	GlucD	--	--	0	443	8	193.113	-2	2010	sm/tb
1ECQ	GlucD	GlucD	--	--	0.177	443	8	192.125	-2	2010	sm/tb
1AGM	Glucoamylase	Glucoamylase	--	--	0	470	22	646.62	1	2010	sm/tb
1GAH	Glucoamylase	Glucoamylase	--	--	0.123	470	22	646.62	1	2010	sm/tb
1GAI	Glucoamylase	Glucoamylase	--	--	0.135	470	22	648.636	1	2010	sm/tb
3BQD	Glucocorticoid_Receptor	Glucocorticoid_Receptor	--	--	--	--	--	--	--	2021	CC
4P6W	Glucocorticoid_Receptor	Glucocorticoid_Receptor		--	--	--	--	--	--	2021	CC
1M2Z	Glucocorticoid_Receptor	Glucocorticoid_Receptor	--	--	--	--	5	392.467	0	2010	sm/tb
1TT1	Glutamate_Receptor	Glutamate_Receptor	--	--	--	--	4	212.226	-1	2012	sm/tb
3KGC	Glutamate_Receptor	Glutamate_Receptor		--	--	--	--	--	--	2021	CC
1VSO	Glutamate_Receptor	Glutamate_Receptor	--	--	--	--	--	--	--	2021	CC
1A8I	Glycogen_Phosphorylase	Glycogen_Phosphorylase	--	--	0	813	5	248.193	0	2012	sm/tb
1C8K	Glycogen_Phosphorylase	Glycogen_Phosphorylase	--	--	0.314	799	5	402.854	1	2010	sm/tb
1Q3D	GSK	GSK	--	--	0	339	2	466.539	0	2012	sm/tb
1Q4L	GSK	GSK	--	--	0.452	333	4	376.175	-1	2012	sm/tb
1Q3W	GSK	GSK	--	--	0.516	336	0	293.282	0	2012	sm/tb
1Q41	GSK	GSK	--	--	0.674	328	3	277.282	0	2012	sm/tb
121P	H_Ras_p21	H_Ras_p21	--	--	0	166	11	517.179	-4	2010	sm/tb
5P21	H_Ras_p21	H_Ras_p21	--	--	0.168	165	11	518.167	-4	2010	sm/tb
1EEF	Heat_Labile_Enterotoxin	Heat_Labile_Enterotoxin	--	--	0	103	6	180.158	0	2010	sm/tb
1EFI	Heat_Labile_Enterotoxin	Heat_Labile_Enterotoxin	--	--	0.175	102	8	271.27	0	2010	sm/tb
1FD7	Heat_Labile_Enterotoxin	Heat_Labile_Enterotoxin	--	--	0.214	102	11	389.405	0	2010	sm/tb
1HVQ	Hevamine	Hevamine	--	--	0	273	21	627.6	0	2010	sm/tb
1KR0	Hevamine	Hevamine	--	--	0.183	273	28	830.794	0	2010	sm/tb
1KQZ	Hevamine	Hevamine	--	--	0.188	273	28	830.794	0	2010	sm/tb
1LLO	Hevamine	Hevamine	--	--	0.199	273	19	623.635	1	2010	sm/tb
1KR1	Hevamine	Hevamine	--	--	0.302	273	28	830.794	0	2010	sm/tb
1KQY	Hevamine	Hevamine	--	--	0.305	273	35	1033.99	0	2010	sm/tb
1A8K	HIV_Protease	HIV_Protease	--	HIV_Protease	0	198	36	847.048	1	2010	sm/tb
1MTR	HIV_Protease	HIV_Protease	--	HIV_Protease	0.37	198	13	596.767	0	2010	sm/tb
1CPI	HIV_Protease	HIV_Protease	--	HIV_Protease	0.417	198	18	687.837	0	2010	sm/tb
1ODW	HIV_Protease	HIV_Protease	--	HIV_Protease	0.436	196	20	544.711	1	2010	sm/tb
1OHR	HIV_Protease	HIV_Protease	--	HIV_Protease	0.447	197	14	567.793	0	2012	sm/tb
1HIV	HIV_Protease	HIV_Protease	--	HIV_Protease	0.455	196	27	812.022	0	2010	sm/tb
1T3R	HIV_Protease	HIV_Protease	--	HIV_Protease	0.496	198	15	547.672	0	2010	sm/tb
1A8G	HIV_Protease	HIV_Protease	--	HIV_Protease	0.502	197	28	827.01	1	2010	sm/tb
1FQX	HIV_Protease	HIV_Protease	--	HIV_Protease	0.509	198	26	702.827	-1	2010	sm/tb
1HXB	HIV_Protease	HIV_Protease	--	HIV_Protease	0.517	197	18	671.86	1	2010	sm/tb
1KZK	HIV_Protease	HIV_Protease	--	HIV_Protease	0.522	198	14	575.729	0	2012	sm/tb
8HVP	HIV_Protease	HIV_Protease	--	HIV_Protease	0.523	197	39	872.072	0	2010	sm/tb
2HS2	HIV_Protease	HIV_Protease	--	HIV_Protease	0.526	189	15	547.672	0	2010	sm/tb
1PRO	HIV_Protease	HIV_Protease	--	HIV_Protease	0.53	197	13	583.684	0	2010	sm/tb
1HVR	HIV_Protease	HIV_Protease	--	HIV_Protease	0.533	198	10	606.764	0	2010	sm/tb
2FDE	HIV_Protease	HIV_Protease	--	HIV_Protease	0.543	197	17	703.834	0	2010	sm/tb
1HPV	HIV_Protease	HIV_Protease	--	HIV_Protease	0.555	197	15	505.635	0	2010	sm/tb
9HVP	HIV_Protease	HIV_Protease	--	HIV_Protease	0.57	197	25	736.908	0	2010	sm/tb
1FG8	HIV_Protease	HIV_Protease	--	HIV_Protease	0.571	197	36	833.064	1	2010	sm/tb
1HXW	HIV_Protease	HIV_Protease	--	HIV_Protease	0.571	197	23	720.957	0	2012	sm/tb
1A9M	HIV_Protease	HIV_Protease	--	HIV_Protease	0.578	198	26	597.779	1	2010	sm/tb
1MET	HIV_Protease	HIV_Protease	--	HIV_Protease	0.578	198	14	566.697	0	2010	sm/tb
1HPS	HIV_Protease	HIV_Protease	--	HIV_Protease	0.579	197	20	638.807	0	2010	sm/tb
1DMP	HIV_Protease	HIV_Protease	--	HIV_Protease	0.584	195	12	536.674	0	2010	sm/tb
1BDR	HIV_Protease	HIV_Protease	--	HIV_Protease	0.587	194	17	534.699	0	2010	sm/tb
1QBS	HIV_Protease	HIV_Protease	--	HIV_Protease	0.593	198	14	566.697	0	2010	sm/tb
1HWR	HIV_Protease	HIV_Protease	--	HIV_Protease	0.598	197	10	406.525	0	2010	sm/tb
1MER	HIV_Protease	HIV_Protease	--	HIV_Protease	0.609	198	12	536.674	0	2010	sm/tb
1EBK	HIV_Protease	HIV_Protease	--	HIV_Protease	0.61	190	36	833.064	1	2010	sm/tb
1HSG	HIV_Protease	HIV_Protease	--	HIV_Protease	0.614	198	16	613.8	0	2012	sm/tb
1FEJ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.616	196	37	770.97	0	2010	sm/tb
1FFF	HIV_Protease	HIV_Protease	--	HIV_Protease	0.616	197	36	833.064	1	2010	sm/tb
4PHV	HIV_Protease	HIV_Protease	--	HIV_Protease	0.622	198	17	618.772	0	2010	sm/tb
1MES	HIV_Protease	HIV_Protease	--	HIV_Protease	0.623	198	14	566.697	0	2010	sm/tb
1D4Y	HIV_Protease	HIV_Protease	--	HIV_Protease	0.63	198	13	602.674	0	2010	sm/tb
1HPX	HIV_Protease	HIV_Protease	--	HIV_Protease	0.635	198	19	667.85	0	2012	sm/tb
1AAQ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.646	197	22	578.729	1	2010	sm/tb
1FGC	HIV_Protease	HIV_Protease	--	HIV_Protease	0.648	198	37	784.954	0	2010	sm/tb
1BDQ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.659	195	17	534.699	0	2010	sm/tb
1SDT	HIV_Protease	HIV_Protease	--	HIV_Protease	0.66	197	16	613.8	0	2010	sm/tb
2F81	HIV_Protease	HIV_Protease	--	HIV_Protease	0.669	198	15	547.672	0	2010	sm/tb
1HVH	HIV_Protease	HIV_Protease	--	HIV_Protease	0.68	196	15	590.722	0	2010	sm/tb
1A30	HIV_Protease	HIV_Protease	--	HIV_Protease	0.685	198	14	373.363	-2	2010	sm/tb
2F80	HIV_Protease	HIV_Protease	--	HIV_Protease	0.696	198	15	547.672	0	2010	sm/tb
1AJV	HIV_Protease	HIV_Protease	--	HIV_Protease	0.698	198	12	574.697	0	2010	sm/tb
2IDW	HIV_Protease	HIV_Protease	--	HIV_Protease	0.698	197	15	547.672	0	2010	sm/tb
2IEN	HIV_Protease	HIV_Protease	--	HIV_Protease	0.7	198	15	547.672	0	2010	sm/tb
1IDA	HIV_Protease	HIV_Protease	--	HIV_Protease	0.703	188	19	724.967	0	2010	sm/tb
1G35	HIV_Protease	HIV_Protease	--	HIV_Protease	0.716	198	16	662.76	0	2010	sm/tb
5HVP	HIV_Protease	HIV_Protease	--	HIV_Protease	0.721	198	27	642.813	-1	2010	sm/tb
2IEO	HIV_Protease	HIV_Protease	--	HIV_Protease	0.722	198	15	547.672	0	2010	sm/tb
1IDB	HIV_Protease	HIV_Protease	--	HIV_Protease	0.726	190	16	650.839	0	2010	sm/tb
1FFI	HIV_Protease	HIV_Protease	--	HIV_Protease	0.73	196	37	784.954	0	2010	sm/tb
1JLD	HIV_Protease	HIV_Protease	--	HIV_Protease	0.73	191	23	661.841	0	2010	sm/tb
2FDD	HIV_Protease	HIV_Protease	--	HIV_Protease	0.742	192	17	703.834	0	2010	sm/tb
1IVP	HIV_Protease	HIV_Protease	--	HIV_Protease	0.757	190	26	810.006	0	2010	sm/tb
7UPJ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.773	197	7	479.597	0	2010	sm/tb
1HSH	HIV_Protease	HIV_Protease	--	HIV_Protease	0.787	189	16	613.8	0	2010	sm/tb
1FG6	HIV_Protease	HIV_Protease	--	HIV_Protease	0.791	198	37	784.954	0	2010	sm/tb
1AID	HIV_Protease	HIV_Protease	--	HIV_Protease	0.795	180	7	453.064	1	2010	sm/tb
2HPE	HIV_Protease	HIV_Protease	--	HIV_Protease	0.81	191	25	643.698	0	2010	sm/tb
4UPJ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.816	192	11	452.507	0	2010	sm/tb
1IVQ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.819	190	20	610.817	-1	2010	sm/tb
2HPF	HIV_Protease	HIV_Protease	--	HIV_Protease	0.901	192	22	544.565	0	2010	sm/tb
3UPJ	HIV_Protease	HIV_Protease	--	HIV_Protease	0.917	188	5	310.349	0	2010	sm/tb
1XL2	HIV_Protease	HIV_Protease	--	--	--	--	--	--	--	2021	CC
1C1B	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase 	0	952	6	330.427	0	2010	sm/tb
1JLA	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.425	935	7	364.444	0	2012	sm/tb
1RTH	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.497	945	1	298.301	0	2010	sm/tb
1JLB	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.533	928	1	266.303	0	2012	sm/tb
3DLE	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.56	927	12	452.43	-2	2010	sm/tb
2OPS	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.614	922	4	280.299	0	2010	sm/tb
3DLG	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.642	912	7	365.815	0	2010	sm/tb
1RT1	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.656	922	6	302.373	0	2012	sm/tb
1S1T	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.684	932	7	335.854	0	2010	sm/tb
1C1C	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.691	932	6	326.46	0	2010	sm/tb
1JLG	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.698	917	7	335.854	0	2012	sm/tb
3DOL	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.719	910	10	544.911	0	2010	sm/tb
1RT2	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.72	915	7	364.444	0	2010	sm/tb
1JLF	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.781	916	1	266.303	0	2012	sm/tb
1JLC	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.873	895	8	354.835	0	2012	sm/tb
