PDB	Family	Protein Type	Subtype	CrossDocking_Family	RMSD mmaker	Atoms Between	Rotatable	MW	Charge	2010/2012	Checked By
1VRT	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.898	691	1	266.302	0	2010	sm/tb
2HND	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.922	673	1	266.303	0	2010	sm/tb
2HNY	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.922	666	1	266.303	0	2010	sm/tb
1VRU	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.924	692	6	351.232	0	2010	sm/tb
2RKI	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.954	612	8	444.515	0	2010	sm/tb
3DYA	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.957	607	5	358.393	0	2010	sm/tb
1IKW	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	0.982	703	3	315.679	0	2010	sm/tb
1JKH	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.002	826	3	315.679	0	2012	sm/tb
2RF2	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.068	697	4	372.242	0	2010	sm/tb
2ZD1	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.076	680	3	212.291	0	2010	sm/tb
2BE2	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.087	731	6	481.354	0	2010	sm/tb
1EP4	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.094	561	9	451.376	0	2010	sm/tb
3BGR	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	Reverse_Transcriptase	1.193	742	14	587.689	-1	2010	sm/tb
3LAN	HIV_Reverse_Transcriptase	HIV_Reverse_Transcriptase	--	--	--	--	--	--	--	2021	CC
1HW8	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase (Ref)	0	814	13	407.527	-1	2010	sm/tb
1HWI	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.278	791	11	410.465	-1	2010	sm/tb
1HWL	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.312	800	12	480.537	-1	2010	sm/tb
1HWJ	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.32	799	13	458.55	-1	2010	sm/tb
1HWK	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.326	795	15	557.641	-1	2010	sm/tb
1HW9	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.337	800	13	435.581	-1	2010	sm/tb
2Q1L	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.37	767	15	575.632	-1	2010	sm/tb
3CD7	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.37	767	13	517.645	-1	2010	sm/tb
2Q6B	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.401	791	12	521.609	-1	2010	sm/tb
3BGL	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.431	800	11	435.461	0	2010	sm/tb
3CCT	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.435	809	7	361.208	-2	2010	sm/tb
3CCZ	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.437	792	15	496.559	-1	2010	sm/tb
2R4F	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.445	793	15	524.612	-1	2010	sm/tb
3CCW	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.448	810	16	573.641	-1	2010	sm/tb
2Q6C	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.453	808	12	555.626	-1	2010	sm/tb
3CD0	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.454	807	17	526.585	-1	2010	sm/tb
3CDA	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.455	801	15	575.632	-1	2010	sm/tb
3CD5	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.459	804	15	514.549	-1	2010	sm/tb
3CDB	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	0.479	806	17	636.721	-1	2010	sm/tb
1T02	HMG_CoA_Reductase	HMG_CoA_Reductase	--	HMG_CoA_Reductase	1.122	279	13	421.554	-1	2010	sm/tb
1UY6	Hsp_90	Hsp_90	--	Hsp_90	0	208	9	371.439	0	2012	sm/tb
1UY9	Hsp_90	Hsp_90	--	Hsp_90	0.161	208	6	325.37	0	2012	sm/tb
1UYG	Hsp_90	Hsp_90	--	Hsp_90	0.194	208	5	303.296	0	2012	sm/tb
1UY8	Hsp_90	Hsp_90	--	Hsp_90	0.195	208	7	311.387	0	2012	sm/tb
1UY7	Hsp_90	Hsp_90	--	Hsp_90	0.201	208	7	311.387	0	2012	sm/tb
1UYC	Hsp_90	Hsp_90	--	Hsp_90	0.203	208	8	341.413	0	2012	sm/tb
1UYF	Hsp_90	Hsp_90	--	Hsp_90	0.204	208	10	433.87	0	2012	sm/tb
1UYD	Hsp_90	Hsp_90	--	Hsp_90	0.205	208	9	405.884	0	2012	sm/tb
1UYE	Hsp_90	Hsp_90	--	Hsp_90	0.214	208	10	415.879	0	2012	sm/tb
1UYH	Hsp_90	Hsp_90	--	Hsp_90	0.242	208	8	359.404	0	2012	sm/tb
1UYK	Hsp_90	Hsp_90	--	Hsp_90	0.244	208	6	343.361	0	2012	sm/tb
1UYI	Hsp_90	Hsp_90	--	Hsp_90	0.304	208	9	369.399	0	2012	sm/tb
2BSM	Hsp_90	Hsp_90	--	Hsp_90	0.374	203	8	387.822	0	2012	sm/tb
2ZM3	IGF1_R	IGF1_R	--	IGF1_R 	0	303	11	416.644	0	2012	sm/tb
3F5P	IGF1_R	IGF1_R	--	IGF1_R	0.568	297	6	230.244	0	2012	sm/tb
3NW6	IGF1_R	IGF1_R	--	IGF1_R	0.661	254	6	433.468	1	2012	sm/tb
3NW7	IGF1_R	IGF1_R	--	IGF1_R	0.676	248	7	392.396	0	2012	sm/tb
3NW5	IGF1_R	IGF1_R	--	IGF1_R	0.773	256	6	433.468	1	2012	sm/tb
3LVP	IGF1_R	IGF1_R	--	IGF1_R	0.779	260	3	342.784	0	2012	sm/tb
3LW0	IGF1_R	IGF1_R	--	IGF1_R	0.816	254	8	464.57	0	2012	sm/tb
3D94	IGF1_R	IGF1_R	--	IGF1_R	0.974	239	7	529.524	0	2012	sm/tb
3HL5	IGF1_R	IGF1_R	--	--	--	--	--	--	--	2021	CC
2OJ9	IGF1_R	IGF1_R	--	--	--	--	--	--	--	2021	CC
1DBB	ImmunoGlobulin	ImmunoGlobulin	--	--	--	--	1	314.468	0	2010	sm/tb
1DBJ	ImmunoGlobulin	ImmunoGlobulin	--	--	--	--	1	290.446	0	2010	sm/tb
1EHL	ImmunoGlobulin	ImmunoGlobulin	--	--	--	--	4	545.42	-1	2010	sm/tb
2CGR	ImmunoGlobulin	ImmunoGlobulin	--	--	--	--	9	384.437	0	2010	sm/tb
2PCP	ImmunoGlobulin	ImmunoGlobulin	--	--	--	--	2	244.4	1	2010	sm/tb
1ME7	Inosine_Monophosphate_Dehydrogenase	Inosine_Monophosphate_Dehydrogenase	--	--	0	365	8	319.334	-1	2012	sm/tb
1MEI	Inosine_Monophosphate_Dehydrogenase	Inosine_Monophosphate_Dehydrogenase	--	--	0.188	347	8	319.334	-1	2012	sm/tb
1MEH	Inosine_Monophosphate_Dehydrogenase	Inosine_Monophosphate_Dehydrogenase	--	--	0.275	341	8	319.334	-1	2012	sm/tb
5ICD	Isocitrate_Dehydrogenase	Isocitrate_Dehydrogenase	--	--	0	414	6	189.102	-3	2010	sm/tb
8ICD	Isocitrate_Dehydrogenase	Isocitrate_Dehydrogenase	--	--	0.173	414	6	189.102	-3	2010	sm/tb
9ICD	Isocitrate_Dehydrogenase	Isocitrate_Dehydrogenase	--	--	0.282	414	8	423.172	-4	2010	sm/tb
3EYG	JAK	JAK	1	--	--	--	--	--	--	2021	CC
3LPB	JAK	JAK	2	--	--	--	--	--	--	2021	CC
1ABE	L_Arabinose_Binding_Protein	L_Arabinose_Binding_Protein	--	--	0	305	4	150.131	0	2010	sm/tb
1ABF	L_Arabinose_Binding_Protein	L_Arabinose_Binding_Protein	--	--	0.15	305	4	164.158	0	2010	sm/tb
1BAP	L_Arabinose_Binding_Protein	L_Arabinose_Binding_Protein	--	--	0.17	305	4	150.131	0	2010	sm/tb
8ABP	L_Arabinose_Binding_Protein	L_Arabinose_Binding_Protein	--	--	0.213	303	6	180.158	0	2010	sm/tb
4WMZ	Lanosterol_14-alpha_demethylase	Lanosterol_14-alpha_demethylase		--	--	--	--	--	--	2021	CC
6E8Q	Lanosterol_14-alpha_demethylase	Lanosterol_14-alpha_demethylase		--	--	--	--	--	--	2021	CC
1LAH	LAO_Binding_Protein	LAO_Binding_Protein	--	--	0	238	4	133.171	1	2010	sm/tb
1LST	LAO_Binding_Protein	LAO_Binding_Protein	--	--	0.217	238	5	147.197	1	2010	sm/tb
2OF2	Lck_Kinase	Lck_Kinase	--	--	--	--	--	--	--	2021	CC
1QPE	Lck_Kinase	Lck_Kinase	--	--	--	--	3	301.778	0	2010	sm/tb
1YHC	LpxC	LpxC	Aquifex Aeolicus	LpxC	--	--	--	--	--	2021	CC
2VES	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
3NZK	LpxC	LpxC	Â Yersinia enterocolitica	LpxC	--	--	--	--	--	2021	CC
3P3C	LpxC	LpxC	Aquifex Aeolicus	LpxC	--	--	--	--	--	2021	CC
3P3G	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
3PS1	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
3PS2	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
3PS3	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
3U1Y	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
3UHM	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4FW3	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4FW4	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4FW6	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4IS9	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
4ISA	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
4J3D	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4LCF	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4MQY	LpxC	LpxC	not given	LpxC	--	--	--	--	--	2021	CC
4OKG	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5DRO	LpxC	LpxC	Aquifex aeolicus	LpxC	--	--	--	--	--	2021	CC
5DRQ	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5DRR	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5N8C	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5U39	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5U3B	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5UPG	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
5VWM	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
6CAX	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
6DUI	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
6IH0	LpxC	LpxC	Aquifex aeolicus	LpxC	--	--	--	--	--	2021	CC
6MO4	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
6MOD	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
6MOO	LpxC	LpxC	Pseudomonas aeruginosa	LpxC	--	--	--	--	--	2021	CC
4OZE	LpxC	LpxC	Aquifex aeolicus	LpxC	--	--	--	--	--	2021	CC
1HEW	Lysozyme	Lysozyme	--	Lysozyme 	0	129	21	627.6	0	2010	sm/tb
1LZB	Lysozyme	Lysozyme	--	Lysozyme	0.177	129	21	627.6	0	2010	sm/tb
1LZG	Lysozyme	Lysozyme	--	Lysozyme	0.182	129	13	408.406	0	2010	sm/tb
1LZC	Lysozyme	Lysozyme	--	Lysozyme	0.213	129	28	830.794	0	2010	sm/tb
1LZE	Lysozyme	Lysozyme	--	Lysozyme	0.224	129	28	830.794	0	2010	sm/tb
1BB6	Lysozyme	Lysozyme	--	Lysozyme	0.47	127	22	785.756	0	2010	sm/tb
1LMC	Lysozyme	Lysozyme	--	Lysozyme	0.488	127	16	550.542	-1	2010	sm/tb
1LMO	Lysozyme	Lysozyme	--	Lysozyme	0.488	127	14	424.405	0	2010	sm/tb
1LZY	Lysozyme	Lysozyme	--	Lysozyme	0.49	129	14	424.405	0	2010	sm/tb
1BB7	Lysozyme	Lysozyme	--	Lysozyme	0.495	127	15	582.561	0	2010	sm/tb
1LMP	Lysozyme	Lysozyme	--	Lysozyme	0.496	127	21	627.6	0	2010	sm/tb
1LMQ	Lysozyme	Lysozyme	--	Lysozyme	0.496	127	28	830.794	0	2010	sm/tb
1LJN	Lysozyme	Lysozyme	--	Lysozyme	0.499	129	14	424.405	0	2010	sm/tb
1BB5	Lysozyme	Lysozyme	--	Lysozyme	0.558	126	21	627.6	0	2010	sm/tb
1RDI	Mannose_Lectin	Mannose_Lectin	--	--	0	111	4	178.185	0	2010	sm/tb
1RDJ	Mannose_Lectin	Mannose_Lectin	--	--	0.064	111	4	164.158	0	2010	sm/tb
1RDK	Mannose_Lectin	Mannose_Lectin	--	--	0.106	111	6	180.158	0	2010	sm/tb
1RDN	Mannose_Lectin	Mannose_Lectin	--	--	0.131	111	7	221.21	0	2010	sm/tb
1RDL	Mannose_Lectin	Mannose_Lectin	--	--	0.147	111	6	180.158	0	2010	sm/tb
6VNX	MEK1	MEK1	--	--	--	--	--	--	--	2021	CC
7JUR	MEK1	MEK1	--	--	--	--	--	--	--	2021	CC
1NW5	Methyltransferase	Methyltransferase	--	--	--	--	10	399.451	1	2010	sm/tb
1NW7	Methyltransferase	Methyltransferase	--	--	--	--	10	384.416	0	2010	sm/tb
2AA2	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0	252	4	360.45	0	2012	sm/tb
2AA7	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0.168	252	3	330.467	0	2012	sm/tb
2AA5	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0.389	247	1	314.468	0	2012	sm/tb
2AAX	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0.414	240	4	360.45	0	2010	sm/tb
2AB2	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0.455	243	2	416.582	0	2012	sm/tb
2AA6	Mineralocorticoid_Receptor 	Mineralocorticoid_Receptor 	--	--	0.458	245	1	314.468	0	2012	sm/tb
1C5C	Misc	21D8_Decarboxylase	--	--	--	--	4	343.338	-2	2010	sm/tb
1U4D	Misc	ACK1	--	--	--	--	2	245.241	0	2012	sm/tb
3EML	Misc	Adenosine_A2a_receptor	--	--	--	--	--	--	--	2021	CC
1LI4	Misc	Adenosylhomocysteinase	--	--	--	--	--	--	--	2021	CC
2AK3	Misc	Adenylate_Kinase	--	--	--	--	7	345.208	-2	2010	sm/tb
1JU9	Misc	Alcohol_Dehydrogenase	--	--	--	--	9	424.18	-3	2010	sm/tb
3JDW	Misc	Amidinotransferase	--	--	--	--	6	532.568	0	2010	sm/tb
1TXR	Misc	Aminopeptidase	--	--	--	--	11	307.37	-1	2010	sm/tb
1HAK	Misc	Annexin	--	--	--	--	7	425.615	1	2010	sm/tb
1W6F	Misc	Arylamine Acetyltransferase	--	--	--	--	2	138.149	1	2010	sm/tb
9AAT	Misc	Aspartate_Aminotransferase	--	--	--	--	5	247.168	-1	2010	sm/tb
1LRH	Misc	Auxin_Binding_Protein	--	--	--	--	2	185.202	-1	2012	sm/tb
1JJE	Misc	Beta_Lactamase	--	--	--	--	7	340.332	-2	2012	sm/tb
1JJT	Misc	Beta_Lactamase	--	--	--	--	7	384.342	-2	2012	sm/tb
1L2S	Misc	Beta_Lactamase	--	--	--	--	4	316.766	-1	2012	sm/tb
1XGI	Misc	Beta_Lactamase	--	--	--	--	4	327.318	-1	2012	sm/tb
1XGJ	Misc	Beta_Lactamase	--	--	--	--	6	341.322	-2	2012	sm/tb
2V3F	Misc	Beta-glucocerebrosidase	--	--	--	--	--	--	--	2021	CC
3L5D	Misc	Beta-secretase	1	--	--	--	--	--	--	2021	CC
1YDR	Misc	cAMP_Dependent_Kinase	--	--	--	--	2	292.382	1	2010	sm/tb
1S5O	Misc	Carnitine_Acetyltransferase	--	--	--	--	5	161.201	0	2010	sm/tb
2CNK	Misc	Caspase-3	--	--	--	--	--	--	--	2021	CC
1F3D	Misc	Catalytic_Antibody 	--	--	--	--	4	203.287	0	2010	sm/tb
2BR1	Misc	Chk1_Kinase	--	--	--	--	8	391.426	0	2012	sm/tb
1COM	Misc	Chorismat_ Mutase	--	--	--	--	5	224.17	-2	2010	sm/tb
4CTS	Misc	Citrate_Synthase	--	--	--	--	3	130.057	-2	2010	sm/tb
2ZDT	Misc	c-Jun_N-terminal_kinase_3	--	--	--	--	--	--	--	2021	CC
3HAD	Misc	CoA_Dehydrogenase	--	--	--	--	5	356.785	-1	2010	sm/tb
1W7X	Misc	Coagulation_factor_VII	--	--	--	--	--	--	--	2021	CC
1H1D	Misc	COMT	--	--	--	--	8	439.391	0	2012	sm/tb
3ODU	Misc	C-X-C_chemokine_receptor_type_4	--	--	--	--	--	--	--	2021	CC
1CTT	Misc	Cytidine_Deaminase	--	--	--	--	5	230.221	0	2010	sm/tb
1OF6	Misc	DAHP_Synthase 	--	--	--	--	4	181.191	0	2012	sm/tb
1P62	Misc	dCK	--	--	--	--	5	263.201	0	2012	sm/tb
1V1J	Misc	Dehydroquinase	--	--	--	--	4	191.136	-1	2010	sm/tb
6NNC	Misc	DHFR		--	--	--	--	--	--	2021	CC
1TUF	Misc	Diaminopimelate_Decarboxylase	--	--	--	--	8	186.208	-2	2010	sm/tb
1ITU	Misc	Dipeptidase	--	--	--	--	--	--	--	2021	CC
3PBL	Misc	Dopamine_D3_receptor	--	--	--	--	--	--	--	2021	CC
4XP4	Misc	Dopamine_Transporter	--	--	--	--	--	--	--	2021	CC
3EQH	Misc	Dual_specificity_mitogen-activated_protein_kinase_kinase_1	--	--	--	--	--	--	--	2021	CC
1HI4	Misc	EDN	--	--	--	--	8	423.172	-4	2010	sm/tb
1VJ5	Misc	Epoxide_Hydrolase	--	--	--	--	4	344.195	0	2010	sm/tb
1TOW	Misc	FABP	--	--	--	--	4	252.293	-1	2012	sm/tb
1YGC	Misc	Factor_VII	--	--	--	--	16	546.599	1	2012	sm/tb
1ZW5	Misc	Farnesyl_diphosphate_synthase	--	--	--	--	--	--	--	2021	CC
1HFC	Misc	Fibroblast_Collagenase	--	--	--	--	12	348.422	-1	2010	sm/tb
3C4F	Misc	Fibroblast_growth_factor_receptor_1	--	--	--	--	--	--	--	2021	CC
1J4H	Misc	FK506-binding_protein	1a	--	--	--	--	--	--	2021	CC
1FKI	Misc	FKBP	12	--	--	--	0	437.576	0	2010	sm/tb
3BZ3	Misc	Focal_adhesion_kinase_1	--	--	--	--	--	--	--	2021	CC
5ZV2	Misc	FRFR-1		--	--	--	--	--	--	2021	CC
1UMG	Misc	Fructose_Bisphosphatase	--	--	--	--	12	336.086	-4	2010	sm/tb
1YZ0	Misc	Fructose_Bisphosphatase	--	--	--	--	7	345.208	-2	2010	sm/tb
1MZC	Misc	Ftase	--	--	--	--	6	472.61	1	2012	sm/tb
2GBP	Misc	Galactose_Binding_Protein	--	--	--	--	6	180.158	0	2010	sm/tb
5GAL	Misc	Galectin	--	--	--	--	13	383.353	0	2010	sm/tb
1LF9	Misc	Glucoamylase	--	--	--	--	22	646.62	1	2010	sm/tb
1J8V	Misc	Glucohydrolase	--	--	--	--	12	358.367	0	2010	sm/tb
1V4S	Misc	Glucokinase	--	--	--	--	6	349.413	0	2012	sm/tb
1HOR	Misc	Glucosamine_Deaminase	--	--	--	--	11	260.161	-1	2010	sm/tb
8A3H	Misc	Glycosidase	--	--	--	--	11	362.337	0	2010	sm/tb
2BVD	Misc	Glycoside_Hydrolase	--	--	--	--	10	310.324	1	2010	sm/tb
1QIN	Misc	Glyoxalase	--	--	--	--	16	567.338	-1	2010	sm/tb
1QCF	Misc	Hck_Tyrosine_Kinase	--	--	--	--	3	281.36	0	2010	sm/tb
1YVF	Misc	HCV_Polymerase	--	--	--	--	8	437.269	-1	2012	sm/tb
1G9V	Misc	Hemoglobin	deoxy	--	--	--	7	340.399	-1	2012	sm/tb
3LQ8	Misc	Hepatocyte_growth_factor_receptor	--	--	--	--	--	--	--	2021	CC
3F9M	Misc	Hexokinase_type_IV	--	--	--	--	--	--	--	2021	CC
1HSL	Misc	Histidine_Binding_Protein	--	--	--	--	3	155.156	0	2010	sm/tb
3MAX	Misc	Histone_deacetylase	2	--	--	--	--	--	--	2021	CC
3F07	Misc	Histone_deacetylase	8	--	--	--	--	--	--	2021	CC
1F9H	Misc	HPPK	--	--	--	--	3	195.181	0	2012	sm/tb
3NF7	Misc	HIV_Integrase	--	--	--	--	--	--	--	2021	CC
1W3Y	Misc	Hyaluronidase	--	--	--	--	22	389.466	-1	2010	sm/tb
2PHH	Misc	Hydroxybenzoate_Hydroxylase	--	--	--	--	15	557.304	0	2010	sm/tb
1HEX	Misc	Isopropylmalate_Dehydrogenase 	--	--	--	--	17	662.423	-1	2010	sm/tb
1PMN	Misc	JNK	--	--	--	--	7	485.459	0	2012	sm/tb
1S2A	Misc	Ketoreductase	--	--	--	--	5	356.785	-1	2010	sm/tb
3CJO	Misc	Kinesin-like_protein_1	--	--	--	--	--	--	--	2021	CC
1CET	Misc	Lactate_Dehydrogenase	--	--	--	--	8	320.885	1	2010	sm/tb
1LAN	Misc	Leucine_AminoPeptidase	--	--	--	--	5	134.199	1	2010	sm/tb
2ICA	Misc	Leukocyte_adhesion_glycoprotein_LFA-1_alpha	--	--	--	--	--	--	--	2021	CC
3CHP	Misc	Leukotriene_A4_hydrolase	--	--	--	--	--	--	--	2021	CC
1YQY	Misc	LF_Metalloprotease	--	--	--	--	6	345.372	-1	2012	sm/tb
3KRJ	Misc	Macrophage_colony_stimulating_factor_receptor	--	--	--	--	--	--	--	2021	CC
1MLD	Misc	Malate_Dehydrogenase	--	--	--	--	6	189.102	-3	2010	sm/tb
1UR5	Misc	Malate_Dehydrogenase	--	--	--	--	17	662.423	-1	2010	sm/tb
1A9U	Misc	MAP_Kinase	p38	--	--	--	3	377.442	0	2010	sm/tb
1BL7	Misc	MAP_Kinase	p38	--	--	--	4	339.396	1	2010	sm/tb
1KV2	Misc	MAP_Kinase	p38	--	--	--	10	527.666	0	2012	sm/tb
1YWR	Misc	MAP_Kinase	--	--	--	--	6	472.565	0	2012	sm/tb
3ERK	Misc	MAP_Kinase	--	--	--	--	7	268.356	0	2010	sm/tb
2OJG	Misc	ERK	2	--	--	--	--	--	--	2021	CC
2QD9	Misc	MAP_Kinase	p38	--	--	--	--	--	--	2021	CC
3M2W	Misc	MAP_kinase-activated_protein_kinase_2	--	--	--	--	--	--	--	2021	CC
4AAH	Misc	Methanol_Dehydrogenase	--	--	--	--	3	327.186	-3	2010	sm/tb
1R58	Misc	Methionine_Aminopeptidase	--	--	--	--	11	360.885	1	2012	sm/tb
1IK4	Misc	Methylglyoxal_Synthase	--	--	--	--	5	169.031	-2	2010	sm/tb
1ITV	Misc	MMP	9	--	--	--	0	96.0636	-2	2012	sm/tb
1Z3C	Misc	mRNA_methyltransferase	--	--	--	--	10	382.4	1	2010	sm/tb
1MUP	Misc	MUP	--	--	--	--	2	143.253	0	2010	sm/tb
1YV3	Misc	Myosin	--	--	--	--	2	292.337	0	2012	sm/tb
1NGP	Misc	N1G9	--	--	--	--	3	196.139	-1	2010	sm/tb
6HLO	Misc	Neurokinin	--	--	--	--	--	--	--	2021	CC
4LBD	Misc	Nuclear_Retinoid_Receptor	--	--	--	--	6	398.454	-1	2010	sm/tb
1HP0	Misc	Nucleoside_Hydrolase	--	--	--	--	6	266.257	0	2010	sm/tb
4S0V	Misc	Orexin_Receptor 	--	--	--	--	--	--	--	2021	CC
1NJJ	Misc	Orthinine_Decarboxylase	--	--	--	--	12	500.59	4	2010	sm/tb
1A7A	Misc	PAH_Hydrolase	--	--	--	--	3	231.214	0	2012	sm/tb
1SQ5	Misc	Pantothenate_Kinase	--	--	--	--	9	218.23	-1	2012	sm/tb
1N2J	Misc	Pantothenate_Synthetase	--	--	--	--	5	147.151	-1	2012	sm/tb
1LRU	Misc	Peptide_deformylase	--	--	--	--	--	--	--	2021	CC
1PGP	Misc	Phosphogluconate_Dehydrogenase	--	--	--	--	11	273.113	-3	2010	sm/tb
1DJX	Misc	Phospholipase	C-delta_1	--	--	--	9	414.05	-6	2010	sm/tb
1MAI	Misc	Phospholipase	C-delta_1	--	--	--	9	414.05	-6	2010	sm/tb
1QPQ	Misc	PhosporibosylTransferase	--	--	--	--	2	165.105	-2	2010	sm/tb
2PK4	Misc	Plasminogen	--	--	--	--	5	131.175	0	2010	sm/tb
1HNN	Misc	PNMT	--	--	--	--	2	212.273	0	2012	sm/tb
1WM1	Misc	Prolyl_AminoPeptidase	--	--	--	--	3	224.283	1	2010	sm/tb
3.00E+37	Misc	Protein_farnesyltransferase	--	--	--	--	--	--	--	2021	CC
2I0E	Misc	Protein_kinase_C_beta	--	--	--	--	--	--	--	2021	CC
1PA9	Misc	Protein_Tyrosine_Phosphatase	--	--	--	--	3	234.166	-1	2010	sm/tb
1HQ2	Misc	Pyrophosphokinase	--	--	--	--	3	195.181	0	2012	sm/tb
1SG0	Misc	Quinone_Reductase	--	--	--	--	6	228.247	0	2012	sm/tb
3G6Z	Misc	Renin	--	--	--	--	--	--	--	2021	CC
